step,epoch,train_f1_mikro,train_loss,val_loss,val_f1_mikro
49,0,0.08122424781322479,0.6987406015396118,,
99,0,0.07233273237943649,0.6983349919319153,,
126,0,,,0.6983446478843689,0.07373429834842682
149,1,0.08101572096347809,0.6978543996810913,,
199,1,0.065653495490551,0.697716474533081,,
249,1,0.08225905150175095,0.6970008611679077,,
253,1,,,0.6973568201065063,0.07395455986261368
299,2,0.06359102576971054,0.6971930265426636,,
349,2,0.07753846049308777,0.6965423226356506,,
380,2,,,0.6964306831359863,0.07614238560199738
