,threshold,accuracy,precision,recall,f1_mikro,f1_makro
0,0.05,0.0,0.03429793502471404,1.0,0.06632119017794327,0.05823057717297188
1,0.1,0.0,0.03429793502471404,1.0,0.06632119017794327,0.05823057717297188
2,0.15,0.0,0.03429793502471404,1.0,0.06632119017794327,0.05823057717297188
3,0.2,0.0,0.03429793502471404,1.0,0.06632119017794327,0.05823057717297188
4,0.25,0.0,0.03429793502471404,1.0,0.06632119017794327,0.05823057717297188
5,0.3,0.0,0.03429793502471404,1.0,0.06632119017794327,0.05823057717297188
6,0.4,0.0,0.03429793502471404,1.0,0.06632119017794327,0.05823057717297188
7,0.5,0.0,0.02845971287398358,0.37852522639068564,0.052939154348573395,0.021973215297483785
8,0.6,0.0,0.0,0.0,0.0,0.0
9,0.7,0.0,0.0,0.0,0.0,0.0
10,0.8,0.0,0.0,0.0,0.0,0.0
11,0.9,0.0,0.0,0.0,0.0,0.0
