threshold,f1_scores_avg,f1_scores_std
0.01,0.19587090489626005,0.0018748987835702328
0.09899999999999999,0.4699867388075745,0.0058703160119554475
0.188,0.5393638102611102,0.005331238761567425
0.277,0.49449940156083355,0.007593258635205329
0.366,0.36107992380044435,0.011540434807546556
0.45499999999999996,0.20667724370238488,0.009654435086288275
0.544,0.0940664150213559,0.011605745480409924
0.633,0.031346930336451376,0.0054502489041508015
0.722,0.005607331383252966,0.0011984016817201196
0.8109999999999999,0.0003065946344448284,0.00025036313241965903
0.9,0.0,0.0
